y (m), Iteration 2 / TriUni / -20.00°_11.00m/s, y (m), Iteration 2 / TriUni / -19.00°_11.00m/s, y (m), Iteration 2 / TriUni / -18.00°_11.00m/s, y (m), Iteration 2 / TriUni / -17.00°_11.00m/s, y (m), Iteration 2 / TriUni / -16.00°_11.00m/s, y (m), Iteration 2 / TriUni / -15.00°_11.00m/s, y (m), Iteration 2 / TriUni / -14.00°_11.00m/s, y (m), Iteration 2 / TriUni / -13.00°_11.00m/s, y (m), Iteration 2 / TriUni / -12.00°_11.00m/s, y (m), Iteration 2 / TriUni / -11.00°_11.00m/s, y (m), Iteration 2 / TriUni / -10.00°_11.00m/s, y (m), Iteration 2 / TriUni / -9.00°_11.00m/s, y (m), Iteration 2 / TriUni / -8.00°_11.00m/s, y (m), Iteration 2 / TriUni / -7.00°_11.00m/s, y (m), Iteration 2 / TriUni / -6.00°_11.00m/s, y (m), Iteration 2 / TriUni / -5.00°_11.00m/s, y (m), Iteration 2 / TriUni / -4.00°_11.00m/s, y (m), Iteration 2 / TriUni / -3.00°_11.00m/s, y (m), Iteration 2 / TriUni / -2.00°_11.00m/s, y (m), Iteration 2 / TriUni / -1.00°_11.00m/s, y (m), Iteration 2 / TriUni /  0.00°_11.00m/s, y (m), Iteration 2 / TriUni /  1.00°_11.00m/s, y (m), Iteration 2 / TriUni /  2.00°_11.00m/s, y (m), Iteration 2 / TriUni /  3.00°_11.00m/s, y (m), Iteration 2 / TriUni /  4.00°_11.00m/s, y (m), Iteration 2 / TriUni /  5.00°_11.00m/s, y (m), Iteration 2 / TriUni /  6.00°_11.00m/s, y (m), Iteration 2 / TriUni /  7.00°_11.00m/s, y (m), Iteration 2 / TriUni /  8.00°_11.00m/s, y (m), Iteration 2 / TriUni /  9.00°_11.00m/s, y (m), Iteration 2 / TriUni / 10.00°_11.00m/s, y (m), Iteration 2 / TriUni / 11.00°_11.00m/s, y (m), Iteration 2 / TriUni / 12.00°_11.00m/s, y (m), Iteration 2 / TriUni / 13.00°_11.00m/s, y (m), Iteration 2 / TriUni / 14.00°_11.00m/s, y (m), Iteration 2 / TriUni / 15.00°_11.00m/s, y (m), Iteration 2 / TriUni / 16.00°_11.00m/s, y (m), Iteration 2 / TriUni / 17.00°_11.00m/s, y (m), Iteration 2 / TriUni / 18.00°_11.00m/s, y (m), Iteration 2 / TriUni / 19.00°_11.00m/s, y (m), Iteration 2 / TriUni / 20.00°_11.00m/s, y (m), Iteration 2 / TriUni / ctrl=0- 2.07°_13.05m/s, 
   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,   -0.6689375,             0,
   -0.6307125,   -0.01451662,   -0.6307125,   -0.01405559,   -0.6307125,   -0.01357937,   -0.6307125,   -0.01308854,   -0.6307125,   -0.01258369,   -0.6307125,   -0.01206545,   -0.6307125,   -0.01153444,   -0.6307125,   -0.01099132,   -0.6307125,   -0.01043673,   -0.6307125,  -0.009871371,   -0.6307125,  -0.009295914,   -0.6307125,  -0.008711066,   -0.6307125,  -0.008117539,   -0.6307125,  -0.007516057,   -0.6307125,  -0.006907351,   -0.6307125,  -0.006292164,   -0.6307125,  -0.005671246,   -0.6307125,  -0.005045352,   -0.6307125,  -0.004415245,   -0.6307125,  -0.003781693,   -0.6307125,  -0.003145468,   -0.6307125,  -0.002507345,   -0.6307125,  -0.001868101,   -0.6307125,  -0.001228516,   -0.6307125, -0.0005893676,   -0.6307125,  4.856423e-05,   -0.6307125,  0.0006845027,   -0.6307125,   0.001317673,   -0.6307125,   0.001947304,   -0.6307125,   0.002572628,   -0.6307125,   0.003192883,   -0.6307125,   0.003807314,   -0.6307125,   0.004415172,   -0.6307125,   0.005015717,   -0.6307125,   0.005608217,   -0.6307125,    0.00619195,   -0.6307125,   0.006766205,   -0.6307125,   0.007330281,   -0.6307125,   0.007883493,   -0.6307125,   0.008425166,   -0.6307125,    0.00895464,   -0.6307125,  -0.002564616,
   -0.5924875,   -0.04749945,   -0.5924875,   -0.04593731,   -0.5924875,   -0.04432486,   -0.5924875,   -0.04266405,   -0.5924875,   -0.04095692,   -0.5924875,   -0.03920555,   -0.5924875,   -0.03741206,   -0.5924875,   -0.03557865,   -0.5924875,   -0.03370754,   -0.5924875,   -0.03180102,   -0.5924875,   -0.02986141,   -0.5924875,   -0.02789107,   -0.5924875,    -0.0258924,   -0.5924875,   -0.02386784,   -0.5924875,   -0.02181985,   -0.5924875,   -0.01975094,   -0.5924875,   -0.01766361,   -0.5924875,   -0.01556042,   -0.5924875,   -0.01344392,   -0.5924875,    -0.0113167,   -0.5924875,  -0.009181346,   -0.5924875,  -0.007040458,   -0.5924875,  -0.004896646,   -0.5924875,  -0.002752521,   -0.5924875, -0.0006106972,   -0.5924875,   0.001526217,   -0.5924875,   0.003655619,   -0.5924875,   0.005774912,   -0.5924875,   0.007881516,   -0.5924875,   0.009972865,   -0.5924875,    0.01204641,   -0.5924875,    0.01409962,   -0.5924875,       0.01613,   -0.5924875,    0.01813508,   -0.5924875,    0.02011241,   -0.5924875,    0.02205958,   -0.5924875,    0.02397422,   -0.5924875,    0.02585399,   -0.5924875,    0.02769662,   -0.5924875,    0.02949985,   -0.5924875,    0.03126148,   -0.5924875,  -0.006675122,
   -0.5542625,    -0.1007174,   -0.5542625,   -0.09729652,   -0.5542625,   -0.09376775,   -0.5542625,   -0.09013535,   -0.5542625,   -0.08640376,   -0.5542625,   -0.08257752,   -0.5542625,    -0.0786613,   -0.5542625,   -0.07465986,   -0.5542625,   -0.07057808,   -0.5542625,   -0.06642093,   -0.5542625,   -0.06219348,   -0.5542625,   -0.05790088,   -0.5542625,   -0.05354836,   -0.5542625,   -0.04914122,   -0.5542625,   -0.04468483,   -0.5542625,   -0.04018461,   -0.5542625,   -0.03564607,   -0.5542625,   -0.03107471,   -0.5542625,   -0.02647612,   -0.5542625,   -0.02185589,   -0.5542625,   -0.01721965,   -0.5542625,   -0.01257305,   -0.5542625,  -0.007921762,   -0.5542625,  -0.003271441,   -0.5542625,   0.001372245,   -0.5542625,   0.006003637,   -0.5542625,    0.01061709,   -0.5542625,    0.01520699,   -0.5542625,    0.01976774,   -0.5542625,    0.02429379,   -0.5542625,    0.02877961,   -0.5542625,    0.03321976,   -0.5542625,     0.0376088,   -0.5542625,    0.04194141,   -0.5542625,    0.04621229,   -0.5542625,    0.05041625,   -0.5542625,    0.05454816,   -0.5542625,    0.05860299,   -0.5542625,    0.06257581,   -0.5542625,    0.06646176,   -0.5542625,    0.07025612,   -0.5542625,   -0.01067966,
   -0.5160375,    -0.1751108,   -0.5160375,    -0.1689799,   -0.5160375,    -0.1626593,   -0.5160375,    -0.1561567,   -0.5160375,    -0.1494801,   -0.5160375,    -0.1426374,   -0.5160375,    -0.1356371,   -0.5160375,    -0.1284878,   -0.5160375,     -0.121198,   -0.5160375,    -0.1137768,   -0.5160375,    -0.1062331,   -0.5160375,   -0.09857608,   -0.5160375,   -0.09081516,   -0.5160375,   -0.08295975,   -0.5160375,   -0.07501943,   -0.5160375,   -0.06700387,   -0.5160375,   -0.05892283,   -0.5160375,   -0.05078617,   -0.5160375,   -0.04260379,   -0.5160375,   -0.03438566,   -0.5160375,   -0.02614179,   -0.5160375,   -0.01788224,   -0.5160375,  -0.009617057,   -0.5160375,  -0.001356317,   -0.5160375,   0.006889916,   -0.5160375,     0.0151116,   -0.5160375,    0.02329871,   -0.5160375,    0.03144127,   -0.5160375,    0.03952937,   -0.5160375,    0.04755315,   -0.5160375,    0.05550283,   -0.5160375,    0.06336874,   -0.5160375,    0.07114128,   -0.5160375,    0.07881098,   -0.5160375,    0.08636851,   -0.5160375,    0.09380465,   -0.5160375,     0.1011103,   -0.5160375,     0.1082767,   -0.5160375,      0.115295,   -0.5160375,     0.1221566,   -0.5160375,     0.1288533,   -0.5160375,   -0.01270108,
   -0.4778125,    -0.2712245,   -0.4778125,    -0.2614503,   -0.4778125,    -0.2513791,   -0.4778125,    -0.2410231,   -0.4778125,     -0.230395,   -0.4778125,    -0.2195078,   -0.4778125,    -0.2083746,   -0.4778125,    -0.1970091,   -0.4778125,     -0.185425,   -0.4778125,    -0.1736366,   -0.4778125,    -0.1616582,   -0.4778125,    -0.1495043,   -0.4778125,    -0.1371898,   -0.4778125,    -0.1247296,   -0.4778125,    -0.1121391,   -0.4778125,   -0.09943341,   -0.4778125,   -0.08662813,   -0.4778125,   -0.07373882,   -0.4778125,    -0.0607812,   -0.4778125,   -0.04777105,   -0.4778125,   -0.03472423,   -0.4778125,   -0.02165662,   -0.4778125,  -0.008584146,   -0.4778125,    0.00447726,   -0.4778125,    0.01751169,   -0.4778125,    0.03050326,   -0.4778125,    0.04343614,   -0.4778125,    0.05629458,   -0.4778125,     0.0690629,   -0.4778125,    0.08172556,   -0.4778125,    0.09426713,   -0.4778125,     0.1066723,   -0.4778125,      0.118926,   -0.4778125,     0.1310133,   -0.4778125,     0.1429195,   -0.4778125,       0.15463,   -0.4778125,     0.1661305,   -0.4778125,     0.1774072,   -0.4778125,     0.1884462,   -0.4778125,     0.1992341,   -0.4778125,     0.2097577,   -0.4778125,   -0.01076258,
   -0.4395875,    -0.3893775,   -0.4395875,    -0.3749513,   -0.4395875,    -0.3600942,   -0.4395875,    -0.3448243,   -0.4395875,    -0.3291602,   -0.4395875,    -0.3131211,   -0.4395875,    -0.2967264,   -0.4395875,    -0.2799961,   -0.4395875,    -0.2629506,   -0.4395875,    -0.2456106,   -0.4395875,    -0.2279974,   -0.4395875,    -0.2101324,   -0.4395875,    -0.1920372,   -0.4395875,     -0.173734,   -0.4395875,    -0.1552451,   -0.4395875,     -0.136593,   -0.4395875,    -0.1178004,   -0.4395875,   -0.09889026,   -0.4395875,   -0.07988554,   -0.4395875,   -0.06080942,   -0.4395875,   -0.04168516,   -0.4395875,   -0.02253604,   -0.4395875,   -0.00338541,   -0.4395875,    0.01574341,   -0.4395875,    0.03482712,   -0.4395875,    0.05384246,   -0.4395875,    0.07276626,   -0.4395875,    0.09157547,   -0.4395875,     0.1102472,   -0.4395875,     0.1287586,   -0.4395875,     0.1470873,   -0.4395875,     0.1652108,   -0.4395875,      0.183107,   -0.4395875,     0.2007543,   -0.4395875,      0.218131,   -0.4395875,      0.235216,   -0.4395875,     0.2519886,   -0.4395875,     0.2684281,   -0.4395875,     0.2845147,   -0.4395875,     0.3002288,   -0.4395875,     0.3155511,   -0.4395875,  -0.002833114,
   -0.4013625,    -0.5297349,   -0.4013625,     -0.509577,   -0.4013625,    -0.4888268,   -0.4013625,    -0.4675097,   -0.4013625,    -0.4456516,   -0.4013625,    -0.4232791,   -0.4013625,    -0.4004195,   -0.4013625,    -0.3771007,   -0.4013625,     -0.353351,   -0.4013625,    -0.3291994,   -0.4013625,    -0.3046753,   -0.4013625,    -0.2798086,   -0.4013625,    -0.2546296,   -0.4013625,     -0.229169,   -0.4013625,    -0.2034577,   -0.4013625,    -0.1775272,   -0.4013625,    -0.1514089,   -0.4013625,    -0.1251348,   -0.4013625,   -0.09873682,   -0.4013625,   -0.07224713,   -0.4013625,   -0.04569801,   -0.4013625,   -0.01912181,   -0.4013625,   0.007449099,   -0.4013625,    0.03398234,   -0.4013625,    0.06044559,   -0.4013625,     0.0868066,   -0.4013625,     0.1130333,   -0.4013625,     0.1390936,   -0.4013625,     0.1649559,   -0.4013625,     0.1905886,   -0.4013625,     0.2159606,   -0.4013625,     0.2410408,   -0.4013625,     0.2657988,   -0.4013625,     0.2902043,   -0.4013625,     0.3142277,   -0.4013625,     0.3378396,   -0.4013625,     0.3610114,   -0.4013625,     0.3837147,   -0.4013625,      0.405922,   -0.4013625,      0.427606,   -0.4013625,     0.4487406,   -0.4013625,    0.01316325,
   -0.3631375,    -0.6923335,   -0.3631375,     -0.665296,   -0.3631375,    -0.6374766,   -0.3631375,    -0.6089092,   -0.3631375,    -0.5796286,   -0.3631375,    -0.5496705,   -0.3631375,    -0.5190713,   -0.3631375,    -0.4878683,   -0.3631375,    -0.4560996,   -0.3631375,    -0.4238039,   -0.3631375,    -0.3910204,   -0.3631375,    -0.3577893,   -0.3631375,    -0.3241508,   -0.3631375,    -0.2901461,   -0.3631375,    -0.2558165,   -0.3631375,    -0.2212039,   -0.3631375,    -0.1863505,   -0.3631375,    -0.1512987,   -0.3631375,    -0.1160912,   -0.3631375,   -0.08077086,   -0.3631375,   -0.04538079,   -0.3631375,  -0.009964092,   -0.3631375,     0.0254361,   -0.3631375,    0.06077665,   -0.3631375,    0.09601451,   -0.3631375,     0.1311067,   -0.3631375,     0.1660106,   -0.3631375,     0.2006835,   -0.3631375,     0.2350833,   -0.3631375,      0.269168,   -0.3631375,     0.3028962,   -0.3631375,     0.3362266,   -0.3631375,     0.3691188,   -0.3631375,     0.4015326,   -0.3631375,     0.4334285,   -0.3631375,     0.4647677,   -0.3631375,     0.4955121,   -0.3631375,      0.525624,   -0.3631375,      0.555067,   -0.3631375,      0.583805,   -0.3631375,     0.6118031,   -0.3631375,    0.03936782,
   -0.3225234,    -0.8885789,   -0.3225234,    -0.8529437,   -0.3225234,    -0.8162941,   -0.3225234,    -0.7786748,   -0.3225234,    -0.7401316,   -0.3225234,    -0.7007115,   -0.3225234,    -0.6604626,   -0.3225234,    -0.6194337,   -0.3225234,    -0.5776751,   -0.3225234,    -0.5352374,   -0.3225234,    -0.4921725,   -0.3225234,    -0.4485327,   -0.3225234,    -0.4043713,   -0.3225234,    -0.3597421,   -0.3225234,    -0.3146994,   -0.3225234,    -0.2692981,   -0.3225234,    -0.2235935,   -0.3225234,    -0.1776413,   -0.3225234,    -0.1314976,   -0.3225234,   -0.08521841,   -0.3225234,   -0.03886026,   -0.3225234,   0.007520411,   -0.3225234,     0.0538671,   -0.3225234,     0.1001233,   -0.3225234,     0.1462328,   -0.3225234,     0.1921392,   -0.3225234,     0.2377867,   -0.3225234,     0.2831197,   -0.3225234,     0.3280829,   -0.3225234,     0.3726216,   -0.3225234,     0.4166815,   -0.3225234,     0.4602089,   -0.3225234,     0.5031508,   -0.3225234,     0.5454548,   -0.3225234,     0.5870695,   -0.3225234,     0.6279441,   -0.3225234,     0.6680288,   -0.3225234,     0.7072748,   -0.3225234,     0.7456342,   -0.3225234,     0.7830604,   -0.3225234,     0.8195078,   -0.3225234,    0.08048436,
