y (m), Iteration 2 / TriUni / -20.00°_11.00m/s, y (m), Iteration 2 / TriUni / -19.00°_11.00m/s, y (m), Iteration 2 / TriUni / -18.00°_11.00m/s, y (m), Iteration 2 / TriUni / -17.00°_11.00m/s, y (m), Iteration 2 / TriUni / -16.00°_11.00m/s, y (m), Iteration 2 / TriUni / -15.00°_11.00m/s, y (m), Iteration 2 / TriUni / -14.00°_11.00m/s, y (m), Iteration 2 / TriUni / -13.00°_11.00m/s, y (m), Iteration 2 / TriUni / -12.00°_11.00m/s, y (m), Iteration 2 / TriUni / -11.00°_11.00m/s, y (m), Iteration 2 / TriUni / -10.00°_11.00m/s, y (m), Iteration 2 / TriUni / -9.00°_11.00m/s, y (m), Iteration 2 / TriUni / -8.00°_11.00m/s, y (m), Iteration 2 / TriUni / -7.00°_11.00m/s, y (m), Iteration 2 / TriUni / -6.00°_11.00m/s, y (m), Iteration 2 / TriUni / -5.00°_11.00m/s, y (m), Iteration 2 / TriUni / -4.00°_11.00m/s, y (m), Iteration 2 / TriUni / -3.00°_11.00m/s, y (m), Iteration 2 / TriUni / -2.00°_11.00m/s, y (m), Iteration 2 / TriUni / -1.00°_11.00m/s, y (m), Iteration 2 / TriUni /  0.00°_11.00m/s, y (m), Iteration 2 / TriUni /  1.00°_11.00m/s, y (m), Iteration 2 / TriUni /  2.00°_11.00m/s, y (m), Iteration 2 / TriUni /  3.00°_11.00m/s, y (m), Iteration 2 / TriUni /  4.00°_11.00m/s, y (m), Iteration 2 / TriUni /  5.00°_11.00m/s, y (m), Iteration 2 / TriUni /  6.00°_11.00m/s, y (m), Iteration 2 / TriUni /  7.00°_11.00m/s, y (m), Iteration 2 / TriUni /  8.00°_11.00m/s, y (m), Iteration 2 / TriUni /  9.00°_11.00m/s, y (m), Iteration 2 / TriUni / 10.00°_11.00m/s, y (m), Iteration 2 / TriUni / 11.00°_11.00m/s, y (m), Iteration 2 / TriUni / 12.00°_11.00m/s, y (m), Iteration 2 / TriUni / 13.00°_11.00m/s, y (m), Iteration 2 / TriUni / 14.00°_11.00m/s, y (m), Iteration 2 / TriUni / 15.00°_11.00m/s, y (m), Iteration 2 / TriUni / 16.00°_11.00m/s, y (m), Iteration 2 / TriUni / 17.00°_11.00m/s, y (m), Iteration 2 / TriUni / 18.00°_11.00m/s, y (m), Iteration 2 / TriUni / 19.00°_11.00m/s, y (m), Iteration 2 / TriUni / 20.00°_11.00m/s, y (m), Iteration 2 / TriUni / ctrl=0- 2.07°_13.05m/s, 
-0.6689375,-0.7225768,-0.6689375,-0.6996397,-0.6689375,-0.6759457,-0.6689375,-0.6515235,-0.6689375,-0.6264029,-0.6689375,-0.6006146,-0.6689375,-0.5741899,-0.6689375,-0.5471611,-0.6689375,-0.519561,-0.6689375,-0.4914234,-0.6689375,-0.4627824,-0.6689375,-0.433673,-0.6689375,-0.4041306,-0.6689375,-0.3741913,-0.6689375,-0.3438915,-0.6689375,-0.3132681,-0.6689375,-0.2823584,-0.6689375,-0.2512002,-0.6689375,-0.2198312,-0.6689375,-0.1882899,-0.6689375,-0.1566146,-0.6689375,-0.1248439,-0.6689375,-0.09301643,-0.6689375,-0.06117108,-0.6689375,-0.02934661,-0.6689375,0.002418212,-0.6689375,0.03408468,-0.6689375,0.06561422,-0.6689375,0.09696841,-0.6689375,0.1281091,-0.6689375,0.1589982,-0.6689375,0.1895982,-0.6689375,0.2198719,-0.6689375,0.2497822,-0.6689375,0.2792929,-0.6689375,0.3083678,-0.6689375,0.3369716,-0.6689375,0.3650695,-0.6689375,0.3926272,-0.6689375,0.4196112,-0.6689375,0.4459885,-0.6689375,-0.09073352,
-0.6307125,-0.9191707,-0.6307125,-0.8873245,-0.6307125,-0.8544849,-0.6307125,-0.8206919,-0.6307125,-0.7859867,-0.6307125,-0.7504116,-0.6307125,-0.7140099,-0.6307125,-0.6768259,-0.6307125,-0.638905,-0.6307125,-0.6002934,-0.6307125,-0.5610381,-0.6307125,-0.5211869,-0.6307125,-0.4807883,-0.6307125,-0.4398917,-0.6307125,-0.3985468,-0.6307125,-0.3568041,-0.6307125,-0.3147142,-0.6307125,-0.2723286,-0.6307125,-0.2296989,-0.6307125,-0.186877,-0.6307125,-0.1439151,-0.6307125,-0.1008656,-0.6307125,-0.05778076,-0.6307125,-0.01471324,-0.6307125,0.02828454,-0.6307125,0.07116019,-0.6307125,0.1138615,-0.6307125,0.1563364,-0.6307125,0.1985331,-0.6307125,0.2404003,-0.6307125,0.2818869,-0.6307125,0.3229425,-0.6307125,0.3635169,-0.6307125,0.4035607,-0.6307125,0.4430252,-0.6307125,0.4818623,-0.6307125,0.5200246,-0.6307125,0.5574657,-0.6307125,0.59414,-0.6307125,0.6300027,-0.6307125,0.6650101,-0.6307125,-0.05469198,
-0.5924875,-1.007219,-0.5924875,-0.9695237,-0.5924875,-0.9307082,-0.5924875,-0.8908194,-0.5924875,-0.8499061,-0.5924875,-0.8080181,-0.5924875,-0.7652063,-0.5924875,-0.721523,-0.5924875,-0.6770213,-0.5924875,-0.6317556,-0.5924875,-0.5857808,-0.5924875,-0.5391532,-0.5924875,-0.4919293,-0.5924875,-0.4441669,-0.5924875,-0.3959241,-0.5924875,-0.3472596,-0.5924875,-0.2982328,-0.5924875,-0.2489034,-0.5924875,-0.1993314,-0.5924875,-0.1495774,-0.5924875,-0.09970182,-0.5924875,-0.04976552,-0.5924875,0.000170672,-0.5924875,0.05004592,-0.5924875,0.09979947,-0.5924875,0.1493707,-0.5924875,0.1986992,-0.5924875,0.2477249,-0.5924875,0.296388,-0.5924875,0.3446293,-0.5924875,0.3923899,-0.5924875,0.4396118,-0.5924875,0.4862373,-0.5924875,0.5322097,-0.5924875,0.577473,-0.5924875,0.6219719,-0.5924875,0.6656524,-0.5924875,0.7084611,-0.5924875,0.7503459,-0.5924875,0.7912558,-0.5924875,0.8311409,-0.5924875,0.003749068,
-0.5542625,-1.054027,-0.5542625,-1.011669,-0.5542625,-0.9681061,-0.5542625,-0.9233902,-0.5542625,-0.877576,-0.5542625,-0.8307194,-0.5542625,-0.7828776,-0.5542625,-0.7341087,-0.5542625,-0.6844723,-0.5542625,-0.6340287,-0.5542625,-0.5828395,-0.5542625,-0.530967,-0.5542625,-0.4784744,-0.5542625,-0.4254256,-0.5542625,-0.3718854,-0.5542625,-0.3179188,-0.5542625,-0.2635918,-0.5542625,-0.2089704,-0.5542625,-0.1541212,-0.5542625,-0.09911105,-0.5542625,-0.04400695,-0.5542625,0.01112395,-0.5542625,0.06621449,-0.5542625,0.1211976,-0.5542625,0.1760062,-0.5542625,0.2305735,-0.5542625,0.2848331,-0.5542625,0.3387189,-0.5542625,0.3921652,-0.5542625,0.4451069,-0.5542625,0.4974795,-0.5542625,0.5492192,-0.5542625,0.600263,-0.5542625,0.6505486,-0.5542625,0.7000148,-0.5542625,0.7486013,-0.5542625,0.796249,-0.5542625,0.8428998,-0.5542625,0.8884968,-0.5542625,0.9329845,-0.5542625,0.9763087,-0.5542625,0.0701607,
-0.5160375,-1.081148,-0.5160375,-1.034706,-0.5160375,-0.986994,-0.5160375,-0.9380689,-0.5160375,-0.8879907,-0.5160375,-0.8368202,-0.5160375,-0.7846199,-0.5160375,-0.7314534,-0.5160375,-0.6773854,-0.5160375,-0.6224818,-0.5160375,-0.5668095,-0.5160375,-0.5104363,-0.5160375,-0.4534309,-0.5160375,-0.3958628,-0.5160375,-0.3378021,-0.5160375,-0.2793195,-0.5160375,-0.2204864,-0.5160375,-0.1613742,-0.5160375,-0.1020552,-0.5160375,-0.04260155,-0.5160375,0.01691433,-0.5160375,0.0764199,-0.5160375,0.1358427,-0.5160375,0.1951102,-0.5160375,0.2541504,-0.5160375,0.3128912,-0.5160375,0.3712612,-0.5160375,0.4291891,-0.5160375,0.4866044,-0.5160375,0.5434371,-0.5160375,0.5996181,-0.5160375,0.6550788,-0.5160375,0.7097517,-0.5160375,0.7635702,-0.5160375,0.8164687,-0.5160375,0.8683828,-0.5160375,0.9192492,-0.5160375,0.9690059,-0.5160375,1.017592,-0.5160375,1.064949,-0.5160375,1.111019,-0.5160375,0.1400977,
-0.4778125,-1.097022,-0.4778125,-1.046832,-0.4778125,-0.9953168,-0.4778125,-0.9425399,-0.4778125,-0.8885656,-0.4778125,-0.8334594,-0.4778125,-0.7772886,-0.4778125,-0.7201216,-0.4778125,-0.6620281,-0.4778125,-0.6030789,-0.4778125,-0.5433456,-0.4778125,-0.4829013,-0.4778125,-0.4218194,-0.4778125,-0.3601744,-0.4778125,-0.2980414,-0.4778125,-0.2354961,-0.4778125,-0.1726147,-0.4778125,-0.1094738,-0.4778125,-0.04615034,-0.4778125,0.01727852,-0.4778125,0.0807355,-0.4778125,0.1441433,-0.4778125,0.2074247,-0.4778125,0.2705025,-0.4778125,0.3333,-0.4778125,0.3957405,-0.4778125,0.4577481,-0.4778125,0.5192472,-0.4778125,0.5801628,-0.4778125,0.6404208,-0.4778125,0.6999477,-0.4778125,0.758671,-0.4778125,0.8165192,-0.4778125,0.8734217,-0.4778125,0.9293093,-0.4778125,0.9841139,-0.4778125,1.037769,-0.4778125,1.090208,-0.4778125,1.141369,-0.4778125,1.191188,-0.4778125,1.239605,-0.4778125,0.2119545,
-0.4395875,-1.105238,-0.4395875,-1.051514,-0.4395875,-0.9964196,-0.4395875,-0.9400217,-0.4395875,-0.8823892,-0.4395875,-0.8235921,-0.4395875,-0.7637022,-0.4395875,-0.7027924,-0.4395875,-0.640937,-0.4395875,-0.5782113,-0.4395875,-0.5146917,-0.4395875,-0.4504556,-0.4395875,-0.3855813,-0.4395875,-0.3201478,-0.4395875,-0.2542348,-0.4395875,-0.1879226,-0.4395875,-0.1212921,-0.4395875,-0.05442438,-0.4395875,0.01259906,-0.4395875,0.07969657,-0.4395875,0.1467864,-0.4395875,0.2137868,-0.4395875,0.2806162,-0.4395875,0.3471931,-0.4395875,0.4134364,-0.4395875,0.4792654,-0.4395875,0.5445999,-0.4395875,0.6093604,-0.4395875,0.6734678,-0.4395875,0.7368442,-0.4395875,0.7994122,-0.4395875,0.8610957,-0.4395875,0.9218195,-0.4395875,0.9815096,-0.4395875,1.040093,-0.4395875,1.097499,-0.4395875,1.153657,-0.4395875,1.2085,-0.4395875,1.261959,-0.4395875,1.31397,-0.4395875,1.364469,-0.4395875,0.2853986,
-0.4013625,-1.107081,-0.4013625,-1.049959,-0.4013625,-0.9914271,-0.4013625,-0.9315557,-0.4013625,-0.8704179,-0.4013625,-0.8080884,-0.4013625,-0.744643,-0.4013625,-0.680159,-0.4013625,-0.614715,-0.4013625,-0.5483908,-0.4013625,-0.4812671,-0.4013625,-0.4134256,-0.4013625,-0.3449492,-0.4013625,-0.2759212,-0.4013625,-0.2064256,-0.4013625,-0.1365473,-0.4013625,-0.06637119,-0.4013625,0.004017085,-0.4013625,0.0745318,-0.4013625,0.145087,-0.4013625,0.2155969,-0.4013625,0.2859753,-0.4013625,0.3561367,-0.4013625,0.4259956,-0.4013625,0.4954667,-0.4013625,0.5644656,-0.4013625,0.632908,-0.4013625,0.7007107,-0.4013625,0.7677911,-0.4013625,0.8340673,-0.4013625,0.8994587,-0.4013625,0.9638855,-0.4013625,1.027269,-0.4013625,1.089533,-0.4013625,1.150601,-0.4013625,1.210398,-0.4013625,1.268851,-0.4013625,1.32589,-0.4013625,1.381445,-0.4013625,1.435449,-0.4013625,1.487835,-0.4013625,0.3611561,
-0.3631375,-1.101987,-0.3631375,-1.041501,-0.3631375,-0.9795702,-0.3631375,-0.9162689,-0.3631375,-0.8516748,-0.3631375,-0.7858665,-0.3631375,-0.7189242,-0.3631375,-0.6509295,-0.3631375,-0.5819652,-0.3631375,-0.5121153,-0.3631375,-0.441465,-0.3631375,-0.3701003,-0.3631375,-0.2981082,-0.3631375,-0.2255763,-0.3631375,-0.1525931,-0.3631375,-0.07924744,-0.3631375,-0.005628713,-0.3631375,0.0681734,-0.3631375,0.142069,-0.3631375,0.215968,-0.3631375,0.2897804,-0.3631375,0.3634163,-0.3631375,0.436786,-0.3631375,0.5098,-0.3631375,0.5823694,-0.3631375,0.6544059,-0.3631375,0.7258216,-0.3631375,0.7965295,-0.3631375,0.8664434,-0.3631375,0.9354783,-0.3631375,1.00355,-0.3631375,1.070575,-0.3631375,1.136473,-0.3631375,1.201163,-0.3631375,1.264566,-0.3631375,1.326604,-0.3631375,1.387203,-0.3631375,1.446288,-0.3631375,1.503788,-0.3631375,1.559632,-0.3631375,1.613752,-0.3631375,0.4420334,
-0.3225234,-1.083591,-0.3225234,-1.019398,-0.3225234,-0.9537305,-0.3225234,-0.8866677,-0.3225234,-0.8182916,-0.3225234,-0.7486854,-0.3225234,-0.6779339,-0.3225234,-0.6061234,-0.3225234,-0.5333412,-0.3225234,-0.4596761,-0.3225234,-0.3852178,-0.3225234,-0.3100571,-0.3225234,-0.2342855,-0.3225234,-0.1579953,-0.3225234,-0.08127948,-0.3225234,-0.004231518,-0.3225234,0.07305473,-0.3225234,0.1504851,-0.3225234,0.2279653,-0.3225234,0.3054008,-0.3225234,0.3826974,-0.3225234,0.4597608,-0.3225234,0.5364973,-0.3225234,0.6128132,-0.3225234,0.6886156,-0.3225234,0.7638122,-0.3225234,0.8383114,-0.3225234,0.9120223,-0.3225234,0.9848552,-0.3225234,1.056721,-0.3225234,1.127533,-0.3225234,1.197204,-0.3225234,1.26565,-0.3225234,1.332787,-0.3225234,1.398533,-0.3225234,1.462808,-0.3225234,1.525535,-0.3225234,1.586636,-0.3225234,1.646037,-0.3225234,1.703665,-0.3225234,1.759451,-0.3225234,0.5419836,
