WARNING: 1 open meshes merged
     Merged: WingGeom
...Mass Properties...
3 Num Comps
1 Total Num Meshes
2160 Total Num Tris

1.323423563910572e+00             Total Mass
1.988239832593316e-01 2.509651923255966e-08 1.886775230813471e-05       Center of Gravity
2.635598114902014e-04 2.807465993222999e-05 2.908061555939302e-04       Ixx, Iyy, Izz
-7.001493863782667e-08 -9.279171254225130e-07 3.113235001350244e-08       Ixy, Ixz, Iyz
3.423563910572072e-03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
WingGeom	3.423563910572313e-03	2.080710436749198e-01	9.701388901144984e-06	7.293577293972420e-03	2.633781614678542e-04	2.759950843621924e-05	2.905126534775045e-04	-7.032206425999402e-08	-1.158816482941904e-06	3.089073272176260e-08	3.423563910572313e-03
WingGeom_pm	6.600000000000000e-01	1.988000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
WingGeom_pm	6.600000000000000e-01	1.988000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.323423563910572e+00	1.988239832593316e-01	2.509651923255966e-08	1.886775230813471e-05	2.635598114902014e-04	2.807465993222999e-05	2.908061555939302e-04	-7.001493863782667e-08	-9.279171254225130e-07	3.113235001350244e-08	3.423563910572072e-03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
1.149878480543418e-02	1.139835140422328e-05	1.149878480543418e-02	3.968682675657188e-20	3.169492443680766e-03	1.693791017187320e-09	1.486358956541505e-09	2.719287747483611e-09	3.274205341610047e-11	-2.148219146006263e-12	-1.325954527394212e-11	1.139835140422328e-05
3.449635441630255e-02	6.637466197526484e-05	3.054704044517527e-02	-5.924458169534771e-19	5.864146098801093e-03	7.012165976425742e-08	1.544767221606992e-08	7.928738291970603e-08	7.481362876902732e-11	7.034173447006217e-10	3.680621167858467e-10	6.637466197526484e-05
5.749392402717092e-02	1.742734924248625e-04	4.723080102346503e-02	1.142214920163154e-17	7.861902908406094e-03	3.706037664612194e-07	6.538184276132494e-08	4.132938179991797e-07	-1.712713007799486e-09	4.250261472529516e-09	1.237184282335611e-09	1.742734924248625e-04
8.049149363803930e-02	3.361075135336926e-04	6.324565167077663e-02	-1.551953778022037e-17	9.417127328392132e-03	1.190921974258185e-06	1.904059097143280e-07	1.329910124377121e-06	-4.308220858287381e-09	1.322242640499068e-08	2.860363182486486e-09	3.361075135336926e-04
1.034890632489077e-01	5.479457753801360e-04	7.880393269514986e-02	2.917565164473688e-07	1.056669216636846e-02	2.901106674425264e-06	4.435591117620951e-07	3.254510573113288e-06	-8.992518096367554e-09	2.869112499848978e-08	4.725342177055337e-09	5.479457753801360e-04
1.264866328597760e-01	8.046512025400268e-04	9.401599958234044e-02	-1.622639614614348e-06	1.130745022982407e-02	6.053934488729397e-06	8.914021978795944e-07	6.810973091608410e-06	-1.482472561116071e-08	4.795042292367812e-08	7.303837997668988e-09	8.046512025400268e-04
1.494842024706444e-01	1.097752460294890e-03	1.088260780107652e-01	-1.189392840740485e-06	1.163585419861865e-02	1.123486274308551e-05	1.606870959641260e-06	1.266304664806408e-05	-2.161256318768115e-08	6.249452746538077e-08	9.874995649909692e-09	1.097752460294890e-03
1.724817720815127e-01	1.416052247664774e-03	1.231345852858429e-01	-9.220414848932771e-07	1.159338662583237e-02	1.907221229657080e-05	2.662111311800050e-06	2.151500491781910e-05	-3.005304188554316e-08	5.939142648052726e-08	1.288238220645240e-08	1.416052247664774e-03
1.954793416923811e-01	1.746358965054868e-03	1.368178883679666e-01	-7.476463563985332e-07	1.124772859020476e-02	3.008970887255581e-05	4.118308214586620e-06	3.395263767905705e-05	-3.777101693370333e-08	2.384720977783068e-08	1.609825146289859e-08	1.746358965054868e-03
2.184769113032495e-01	2.074326133197016e-03	1.497288178870691e-01	1.577451634975493e-05	1.066337050715086e-02	4.478442388428060e-05	6.012351409914555e-06	5.050793482093910e-05	-4.352721326466742e-08	-5.962406131575962e-08	1.852475121147094e-08	2.074326133197016e-03
2.414744809141179e-01	2.383443312712219e-03	1.616276368925028e-01	1.372779559455567e-05	9.929401717757849e-03	6.343860247173233e-05	8.327913032328386e-06	7.144361060336178e-05	-5.129019665408050e-08	-1.994331047034175e-07	2.142409494790293e-08	2.383443312712219e-03
2.644720505249862e-01	2.655364987852007e-03	1.721593812521874e-01	1.228067713634601e-05	9.160607248731285e-03	8.598635282230804e-05	1.095806310484013e-05	9.658429731095730e-05	-5.806696360004583e-08	-3.879906920042932e-07	2.381661430819445e-08	2.655364987852007e-03
2.874696201358546e-01	2.869308182556270e-03	1.807572171482621e-01	1.135731181700691e-05	8.507861668141187e-03	1.118800117157607e-04	1.363280373106918e-05	1.251155182636884e-04	-6.199319137230323e-08	-5.879181779544054e-07	2.598431562155927e-08	2.869308182556270e-03
3.104671897467230e-01	3.024434983417257e-03	1.874101930592307e-01	1.074149593609854e-05	8.081317378882942e-03	1.401336615037235e-04	1.613881515286309e-05	1.558495229532000e-04	-6.464845017391474e-08	-7.467117121679426e-07	2.752430099506717e-08	3.024434983417257e-03
3.334647593575913e-01	3.151882111337719e-03	1.933159453484540e-01	1.030368588241692e-05	7.775274857208463e-03	1.700381311625364e-04	1.877054258446934e-05	1.883678766313362e-04	-6.686950568019268e-08	-8.819332278601476e-07	2.855743875564571e-08	3.151882111337719e-03
3.564623289684598e-01	3.257873838510999e-03	1.986237527833368e-01	1.032982556457918e-05	7.555075898717570e-03	2.008407473510417e-04	2.151755207740977e-05	2.219055827641806e-04	-6.855762574123855e-08	-9.951943426804400e-07	2.949172682222895e-08	3.257873838510999e-03
3.794598985793281e-01	3.345339901342856e-03	2.033518300959333e-01	9.966864165159576e-06	7.395687312729458e-03	2.315944518205418e-04	2.431672675000957e-05	2.554503991519272e-04	-6.996795196851984e-08	-1.089115691065341e-06	3.018086728238243e-08	3.345339901342856e-03
4.024574681901965e-01	3.400387468884554e-03	2.065750748470741e-01	9.767511858075724e-06	7.314979154126870e-03	2.533904848204511e-04	2.647150090730004e-05	2.793976410036311e-04	-7.017583761490239e-08	-1.142874540786333e-06	3.076675540856125e-08	3.400387468884554e-03
4.254550378010649e-01	3.421446895894111e-03	2.079223079750281e-01	9.707391619678964e-06	7.293694214491050e-03	2.624090573712555e-04	2.747687022640349e-05	2.894209135110789e-04	-7.031486731073753e-08	-1.158719950001503e-06	3.089082648645499e-08	3.421446895894111e-03
4.484526074119332e-01	3.423563910572073e-03	2.080710436749314e-01	9.701388901143257e-06	7.293577293972904e-03	2.633781614678533e-04	2.759950843621939e-05	2.905126534775035e-04	-7.032206426000455e-08	-1.158816482941910e-06	3.089073272176396e-08	3.423563910572073e-03
